HMDB0000300
HMDB0000243
HMDB0000190
HMDB0000119
HMDB0000115
HMDB0001527
HMDB0002349
HMDB0006331
HMDB0000005
HMDB0000008
HMDB0000060
HMDB0000729
HMDB0255145
HMDB0006028
HMDB0000011
HMDB0000754
HMDB0014684
HMDB0002199
HMDB0003466
HMDB0000423
HMDB0000127
HMDB0002545
HMDB0000873
HMDB0004230
HMDB0003411
PBCM0000090301
HMDB0000695
HMDB0000858
HMDB0031193
HMDB0254310
HMDB0000019
HMDB0000407
HMDB0000765
HMDB0000134
HMDB0001987
HMDB0000176
HMDB0000720
HMDB0000202
HMDB0000254
HMDB0000532
HMDB0000678
HMDB0000821
HMDB0000128
HMDB0000139
HMDB0000943
HMDB0000625
HMDB0001587
HMDB0011747
HMDB0013674
HMDB0001494
HMDB0000224
HMDB0012209
HMDB0000263
HMDB0001473
HMDB0000126
HMDB0001031
HMDB0001548
HMDB0245643
HMDB0001586
HMDB0001270
HMDB0001367
HMDB0001202
HMDB0001285
HMDB0000961
HMDB0001124
HMDB0004110
HMDB0001096
HMDB0000251
HMDB0003903
HMDB0253211
HMDB0304940
HMDB0031340
HMDB0002205
HMDB0000267
HMDB0000634
HMDB0000746
HMDB0000072
HMDB0003072
HMDB0000663
HMDB0002092
HMDB0001624
HMDB0000958
HMDB0000426
HMDB0000223
HMDB0000956
HMDB0000044
HMDB0000094
HMDB0028685
HMDB0000230
HMDB0000661
HMDB0001844
HMDB0011733
HMDB0000766
HMDB0000191
HMDB0000210
HMDB0000508
HMDB0002917
HMDB0002340
HMDB0000205
HMDB0012283
HMDB0011718
HMDB0000157
HMDB0001123
HMDB0001392
HMDB0001870
HMDB0000500
HMDB0003070
HMDB0001895
HMDB0002466
HMDB0003966
HMDB0002432
HMDB0001988
HMDB0000462
HMDB0000555
HMDB0001112
HMDB0000807
HMDB0001321
HMDB0258272
HMDB0062628
HMDB0001401
HMDB0001316
HMDB0001068
HMDB0001016
PBCM0090657269
HMDB0001058
HMDB0060274
PBCM0090658584
HMDB0000653
HMDB0000857
HMDB0245098
HMDB0001015
HMDB0001553
HMDB0000208
HMDB0000422
HMDB0000752
HMDB0001864
HMDB0003681
HMDB0000567
HMDB0011732
HMDB0000779
HMDB0000764
HMDB0002222
HMDB0011743
HMDB0000669
HMDB0000707
HMDB0004815
HMDB0000957
HMDB0003192
HMDB0001232
HMDB0000292
HMDB0001476
HMDB0000152
HMDB0001545
HMDB0000397
HMDB0029666
HMDB0000296
HMDB0000226
HMDB0000528
HMDB0000711
HMDB0000156
HMDB0002441
HMDB0000402
HMDB0002285
HMDB0000510
HMDB0002096
HMDB0003320
HMDB0000193
HMDB0002035
PBCM0000445144
HMDB0011751
HMDB0033752
HMDB0002209
HMDB0000232
HMDB0000118
HMDB0000469
HMDB0000130
HMDB0029644
HMDB0000289
HMDB0000896
HMDB0000482
HMDB0004811
HMDB0000721
HMDB0059655
HMDB0000150
HMDB0011756
HMDB0003357
HMDB0001209
HMDB0012245
PBCM0000440041
HMDB0000058
HMDB0001964
HMDB0000071
HMDB0000195
HMDB0000434
HMDB0000291
HMDB0000017
HMDB0000734
HMDB0001264
HMDB0003701
HMDB0006344
HMDB0000085
HMDB0000273
HMDB0000299
HMDB0001238
HMDB0000250
HMDB0002043
HMDB0001245
HMDB0001274
HMDB0003335
HMDB0001201
HMDB0000998
HMDB0001191
HMDB0001342
HMDB0000285
HMDB0001532
HMDB0000881
HMDB0000211
HMDB0012127
HMDB0001294
HMDB0000124
HMDB0001451
HMDB0000258
HMDB0000660
HMDB0000866
HMDB0000012
HMDB0000468
HMDB0001409
HMDB0001227
HMDB0001389
HMDB0000645
HMDB0000055
HMDB0000186
HMDB0001564
HMDB0000280
HMDB0000218
HMDB0000286
HMDB0001373
HMDB0249251
HMDB0000626
HMDB0000619
HMDB0006557
HMDB0003553
HMDB0001546
HMDB0000082
HMDB0000290
HMDB0000935
HMDB0001273
HMDB0000241
HMDB0059638
